station_code,entity,water_body,uf,latitude,longitude,parameters,first_year,last_year,years
CAPENG001,CAESB,Ribeirão Engenho das Lajes,DF,-16.04137444,-48.26097427,1,2012,2016,5
CAPLDE001,CAESB,Lago Descoberto  16 m,DF,-15.77820972,-48.23547006,1,2013,2016,4
CAPLDE002,CAESB,LG Descoberto 09 m,DF,-15.77820972,-48.23108722,1,2014,2016,3
CAPLSM001,CAESB,"Lago Santa Maria  8,75 m",DF,-15.66908694,-47.95741836,1,2013,2016,4
CAPLSM002,CAESB,"LG Santa Maria 15,75 m",DF,-15.66908694,-47.95306583,1,2014,2016,3
CAPODG001,CAESB,Córrego Olho d’Água,DF,-15.9630975,-48.07308392,1,2012,2016,5
CAPPDR001,CAESB,Ribeirão das Pedras,DF,-15.76915139,-48.11370338,1,2012,2016,5
CAPPRZ001,CAESB,Córrego Paranoazinho,DF,-15.67611611,-47.86269587,1,2012,2016,5
CAPPTR001,CAESB,Córrego Ponte de Terra,DF,-15.98527333,-48.05529452,1,2012,2012,1
CAPPTR002,CAESB,Córrego Ponte de Terra,DF,-15.98895028,-48.06264026,1,2012,2016,5
CAPPTR003,CAESB,Córrego Ponte de Terra,DF,-15.99032861,-48.07048342,1,2012,2016,5
CAPTOR001,CAESB,Ribeirão do Torto,DF,-15.69528361,-47.91710313,1,2012,2016,5
CAPTQR001,CAESB,Córrego Taquari,DF,-15.73656861,-47.80624155,1,2012,2016,5
CRPALG010,CAESB,Rio Alagado  Relocado,DF,-16.01075639,-48.03375327,1,2013,2016,4
CRPALG020,CAESB,Rio Alagado,DF,-16.04108833,-48.05986336,1,2013,2016,4
CRPALG030,CAESB,Rio Alagado,DF,-16.0951525,-48.15051254,1,2013,2016,3
CRPALG040,CAESB,Rio Alagado,DF,-16.10785861,-48.15556329,1,2013,2016,4
CRPCMJ010,CAESB,Córrego Monjolo,DF,-15.95091333,-48.11641859,1,2013,2014,2
CRPCOR010,CAESB,Córrego Cortado  novo ponto,DF,-15.83010667,-48.06929809,1,2013,2016,4
CRPCSA010,CAESB,COL Agricola Águas Claras  Córrego Samambaia,DF,-15.82061806,-48.02413128,1,2013,2016,4
CRPCTT001,CAESB,Córrego Taguatinga,DF,-15.8570025,-48.05353139,1,2013,2013,1
CRPCTT010,CAESB,CRG Taguatinga,DF,-15.8570025,-48.04912667,1,2014,2016,3
CRPCVB010,CAESB,Córrego Vargem da Benção,DF,-15.90390278,-48.10044914,1,2013,2016,4
CRPCVB020,CAESB,Córrego Vargem da Benção  novo,DF,-15.92412139,-48.12655809,1,2013,2016,4
CRPCVB030,CAESB,Córrego Vargem da Benção,DF,-15.93009361,-48.13082808,1,2013,2016,4
CRPCVB040,CAESB,Córrego Vargem da Benção,DF,-15.95105249,-48.1232683,1,2015,2017,3
CRPCVP010,CAESB,COL Agricola Águas Claras  Córrego Vicente Pires,DF,-15.78579361,-48.00694022,1,2013,2016,4
CRPCVP020,CAESB,COL Agricola Águas Claras Córrego Vicente Pires,DF,-15.81410583,-48.00425083,1,2014,2016,3
CRPCVP030,CAESB,COL Agricola Águas Claras Córrego Vicente Pires,DF,-15.82671944,-47.99518444,1,2014,2016,3
CRPCVP040,CAESB,COL Agricola Águas Claras Córrego Vicente Pires,DF,-15.8375725,-47.99134278,1,2014,2016,3
CRPCVP050,CAESB,COL Agricola Águas Claras Córrego Vicente Pires,DF,-15.86438639,-47.95887028,1,2014,2016,3
CRPMLC010,CAESB,Rio Melchior  novo,DF,-15.85662333,-48.15005823,1,2013,2016,4
CRPMLC020,CAESB,Rio Melchior,DF,-15.85707083,-48.18095641,1,2013,2016,4
CRPMLC030,CAESB,Rio Melchior,DF,-15.90832111,-48.25312148,1,2013,2016,4
CRPRDE010,CAESB,Rio Descoberto,DF,-15.94242,-48.25677901,1,2013,2016,4
CRPRPA010,CAESB,Rio Paranoá  relocado,DF,-15.79211278,-47.7689417,1,2013,2016,4
CRPRPA020,CAESB,Rio Paranoá relocado,DF,-15.79018944,-47.750295,1,2014,2016,3
CRPRPA030,CAESB,Rio Paranoá  100 Após Jusante,DF,-15.80968889,-47.70716658,1,2013,2016,4
CRPRPT010,CAESB,Ribeirão Ponte Alta  Ex PA-10,DF,-15.99122444,-48.11848812,1,2013,2016,4
CRPRPT020,CAESB,Ribeirão Ponte Alta  Ex PA-20,DF,-16.01176028,-48.12196743,1,2013,2016,4
CRPRRF010,CAESB,Riacho Fundo  relocado,DF,-15.89116333,-48.03090227,1,2013,2016,4
CRPRRF020,CAESB,Ribeirão Riacho Fundo  relocado,DF,-15.891475,-48.03057124,1,2013,2016,4
CRPRRF030,CAESB,Ribeirão Riacho Fundo  relocado,DF,-15.88784361,-47.9982519,1,2013,2016,4
CRPRRF040,CAESB,Ribeirão Riacho Fundo,DF,-15.86529833,-47.96065036,1,2013,2016,4
CRPRRF050,CAESB,Ribeirão Riacho Fundo,DF,-15.85085778,-47.9361619,1,2013,2016,4
CRPSAP010,CAESB,Ribeirão Santo Antônio da Papuda,DF,-15.91807611,-47.78084863,1,2013,2016,4
CRPSAP020,CAESB,Ribeirão Santo Antônio da Papuda  novo ponto,DF,-15.90126694,-47.75061813,1,2013,2016,4
CRPSAP030,CAESB,Ribeirão Santo Antônio da Papuda  antigo PP02,DF,-15.89966944,-47.74768407,1,2013,2015,3
CRPSAP040,CAESB,Ribeirão Santo Antônio da Papuda,DF,-15.89216807,-47.71851348,1,2015,2016,2
LICLDE001,CAESB,LG Descoberto Ponto A - 1 metro,DF,-15.77749722,-48.23102944,1,2014,2016,3
LICLDE002,CAESB,LG Descoberto Ponto B - 1 metro,DF,-15.75688139,-48.21345222,1,2014,2016,3
LICLDE003,CAESB,LG Descoberto Ponto C - 1 metro,DF,-15.74910528,-48.17690139,1,2014,2016,3
LICLDE004,CAESB,LG Descoberto Ponto D - 1 metro,DF,-15.73806028,-48.17959139,1,2014,2016,3
LICLDE005,CAESB,LG Descoberto Ponto E - 1 metro,DF,-15.71139389,-48.21259194,1,2014,2016,3
LICLDE006,CAESB,Lago Descoberto,DF,-15.74534898,-48.18547602,1,2015,2016,2
LICLDE007,CAESB,Lago Descoberto,DF,-15.74659832,-48.20898354,1,2015,2016,2
GO8491E87,SEMARH,Informação não disponível,GO,-18.593444,-50.438306,3,2015,2015,1
GO8491I17,SEMARH,Informação não disponível,GO,-17.960389,-51.618944,1,2014,2016,3
GO8491I19,SEMARH,Informação não disponível,GO,-18.457444,-50.486306,2,2012,2012,1
GO8491I20,SEMARH,Informação não disponível,GO,-18.455306,-50.315556,3,2014,2015,2
GO8491I27,SEMARH,Informação não disponível,GO,-18.304222,-51.142611,4,2012,2020,5
GO8491I30,SEMARH,Informação não disponível,GO,-18.436306,-50.666361,3,2012,2015,3
GO8491I41,SEMARH,Informação não disponível,GO,-18.574444,-51.472778,3,2012,2012,1
GO8491I44,SEMARH,Informação não disponível,GO,-19.013667,-50.684417,2,2012,2012,1
GO8491I45,SEMARH,Informação não disponível,GO,-18.528167,-51.17275,4,2012,2020,6
GO8491I46,SEMARH,Informação não disponível,GO,-18.085111,-51.621722,1,2014,2015,2
GO8491I49,SEMARH,RIO ALEGRE,GO,-18.759,-50.627222,3,2014,2015,2
GO8491I5,SEMAD-GO,RIO VERDE,GO,-18.731008,-51.24594,3,2020,2020,1
GO8491I61,SEMARH,Informação não disponível,GO,-18.896111,-51.427222,3,2012,2012,1
GO8491I7,SEMARH,RIO CLARO,GO,-18.5555,-51.125583,3,2013,2013,1
GO8494I11,SEMARH,SANTA MARIA,GO,-16.728,-49.59311,1,2020,2020,1
