theme,title,publication_year,cited_by_count,source_display_name,source_url,doi,has_pdf,is_open_access,research_track
Clima e variabilidade,Effects of the interannual variations in the flood pulse mediated by hypoxia tolerance: the case of the fish assemblages in the upper Parana River floodplain,2013,18,Neotropical Ichthyology,https://www.scielo.br/j/ni/a/WH3BDd35cyVMN33DhSHRsXx/?lang=en&format=pdf,https://doi.org/10.1590/s1679-62252013005000008,True,True,n2_clima_chuva_seca_jupia
Correlacao integrada,"Feeding of Acestrorhynchus lacustris (Characidae): a post impoundment studies on Itaipu reservoir, upper Paraná River, PR",2000,18,Brazilian Archives of Biology and Technology,https://www.scielo.br/j/babt/a/Vqs7Dgr79g7td9GnXJJrzMw/?lang=en&format=pdf,https://doi.org/10.1590/s1516-89132000000200010,True,True,n4_literatura_contexto_integrado_jupia
Sedimentos e turbidez,"Effect of the Cretaceous Serra Geral igneous event on the temperatures and heat flow of the Parana Basin, southern Brazil",1994,18,Basin Research,https://hdl.handle.net/2027.42/72088,https://doi.org/10.1111/j.1365-2117.1994.tb00087.x,True,True,n3_sedimentos_turbidez_assoreamento_jupia
Pressao territorial,Drought can cause phytoplankton growth intensification in Barra Bonita reservoir,2016,17,Modeling Earth Systems and Environment,https://link.springer.com/content/pdf/10.1007%2Fs40808-016-0193-8.pdf,https://doi.org/10.1007/s40808-016-0193-8,True,True,n2_uso_solo_agro_queimadas_mapbiomas_inpe_ibge
Comportamento dos rios,"Diel variation in the ascent of fishes up an experimental fish ladder at Itaipu Reservoir: fish size, reproductive stage and taxonomic group influences",2007,17,Neotropical Ichthyology,https://www.scielo.br/j/ni/a/3np6SjStVhPhkfVDcsvjzyD/?lang=en&format=pdf,https://doi.org/10.1590/s1679-62252007000200016,True,True,n2_operacao_reservatorios_ons_sar
Correlacao integrada,"Morphological description of larvae of the Mapará Hypophthalmus edentatus (Spix) (Osteichthyes, Hypophthalmidae) in the Itaipu reservoir (Parana River, Brazil)",1998,17,Revista Brasileira de Zoologia,https://www.scielo.br/j/rbzool/a/nTsSGQvfjzP6q8VkknkFYvS/?lang=en&format=pdf,https://doi.org/10.1590/s0101-81751998000300013,True,True,n4_literatura_contexto_integrado_jupia
Sedimentos e turbidez,Macrofloristic assemblage of the Parana Formation (Middle-Upper Miocene) in Entre Rios (Argentina),2008,15,Neues Jahrbuch für Geologie und Paläontologie - Abhandlungen,https://www.schweizerbart.de/papers/njgpa/detail/248/59287/Macrofloristic_assemblage_of_the_Parana_Formation_?af=crossref,https://doi.org/10.1127/0077-7749/2008/0248-0159,True,True,n3_sedimentos_turbidez_assoreamento_jupia
Poluicao e qualidade da agua,Geochemistry of the Upper Paraná River floodplain: study of the Garças Pond and Patos Pond,2015,14,Journal of Radioanalytical and Nuclear Chemistry,https://link.springer.com/content/pdf/10.1007/s10967-015-4021-9.pdf,https://doi.org/10.1007/s10967-015-4021-9,True,True,n3_poluicao_saneamento_efluentes_outorgas
Poluicao e qualidade da agua,"Assessment of the ichthyofauna in stretches under the influence of Salto Grande Reservoir (Middle Paranapanema River, SP/PR, Brazil).",2009,14,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),http://hdl.handle.net/11449/18718,,True,True,n3_poluicao_saneamento_efluentes_outorgas
Clima e variabilidade,Water erosion vulnerability and sediment delivery rate in upper Iguaçu river basin – Paraná,2016,13,Revista Brasileira de Recursos Hídricos,http://www.scielo.br/pdf/rbrh/v21n4/2318-0331-rbrh-2318-0331011616029.pdf,https://doi.org/10.1590/2318-0331.011616029,True,True,n2_clima_chuva_seca_jupia
Clima e variabilidade,Nitrogen cycle and ecosystem services in the Brazilian La Plata Basin: anthropogenic influence and climate change,2012,13,Brazilian Journal of Biology,https://www.scielo.br/j/bjb/a/WF6kKYBrKtm4P5ySfKr7kQq/?lang=en&format=pdf,https://doi.org/10.1590/s1519-69842012000400008,True,True,n2_clima_chuva_seca_jupia
Clima e variabilidade,Generation of Daily Synthetic Precipitation Series: Analyses and Application in La Plata River Basin,2011,13,The Open Hydrology Journal,http://benthamopen.com/contents/pdf/TOHYDJ/TOHYDJ-5-69.pdf,https://doi.org/10.2174/1874378101105010069,True,True,n2_clima_chuva_seca_jupia
Sedimentos e turbidez,"Dynamics of microalgal communities in the water-column/sediment interface of the inner shelf off Parana State, Southern Brazil",2004,13,Brazilian Journal of Oceanography,https://www.scielo.br/j/bjoce/a/7p8kmLVKQYKjchZ3P8rgTNg/?lang=en&format=pdf,https://doi.org/10.1590/s1679-87592004000300002,True,True,n3_sedimentos_turbidez_assoreamento_jupia
Poluicao e qualidade da agua,"Ichthyofauna of the “Cachoeira de São Roberto” and fishes of lower Preto River, upper Paraná River basin, Brazil",2017,12,Biota Neopropica/Biota Neotropica,http://www.scielo.br/pdf/bn/v17n1/1676-0611-bn-1676-0611-BN-2016-0196.pdf,https://doi.org/10.1590/1676-0611-bn-2016-0196,True,True,n3_poluicao_saneamento_efluentes_outorgas
Pressao territorial,Basin‐scale distribution and haplotype partitioning in different genetic lineages of the Neotropical migratory fish <scp><i>Salminus brasiliensis</i></scp>,2017,12,Aquatic Conservation Marine and Freshwater Ecosystems,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aqc.2830,https://doi.org/10.1002/aqc.2830,True,True,n2_uso_solo_agro_queimadas_mapbiomas_inpe_ibge
Comportamento dos rios,"Spatial and seasonal patterns in fish assemblage in Corrego Rico, upper Parana River basin",2013,12,Neotropical Ichthyology,https://www.scielo.br/j/ni/a/xQRVwKVPK6XGRNGW9pnLnfy/?lang=en&format=pdf,https://doi.org/10.1590/s1679-62252013000100017,True,True,n2_hidrologia_ana_hidroweb_parana_grande_paranaiba_tiete_sucuriu
Clima e variabilidade,Characterizing the 2019-2021 drought in La Plata River Basin with GLDAS and SMAP,2024,11,Journal of Hydrology Regional Studies,https://doi.org/10.1016/j.ejrh.2024.101679,https://doi.org/10.1016/j.ejrh.2024.101679,False,True,n2_clima_chuva_seca_jupia
Clima e variabilidade,Downscaling Climate Projections over La Plata Basin,2015,11,Atmospheric and Climate Sciences,https://www.scirp.org/journal/PaperDownload.aspx?paperID=62493,https://doi.org/10.4236/acs.2016.61001,True,True,n2_clima_chuva_seca_jupia
Poluicao e qualidade da agua,"Modeling pollution potential input from the drainage basin into Barra Bonita reservoir, São Paulo – Brazil",2015,9,Brazilian Journal of Biology,https://www.scielo.br/j/bjb/a/GTWKTBF7nG7vXVRRfTNdwbh/?lang=en&format=pdf,https://doi.org/10.1590/1519-6984.12013,True,True,n3_poluicao_saneamento_efluentes_outorgas
Poluicao e qualidade da agua,Multi-objective Storage Reservoir Operation under Uncertainty,2003,9,Kyoto University Research Information Repository (Kyoto University),http://hdl.handle.net/2433/129098,,True,True,n3_poluicao_saneamento_efluentes_outorgas
Sedimentos e turbidez,"Upper Paleozoic and Lower Mesozoic Paleogeography, and Paleoclimatological and Tectonic Events in South America",1973,9,,https://archives.datapages.com/data/cspg_sp/data/002/002001/398_cspgsp0020398.htm,,False,False,n3_sedimentos_turbidez_assoreamento_jupia
Sedimentos e turbidez,"Morphological resilience at the confluence of a very low discharge creek and a large river (upper Parana, Brazil)",2023,8,Journal of South American Earth Sciences,https://doi.org/10.1016/j.jsames.2023.104222,https://doi.org/10.1016/j.jsames.2023.104222,False,False,n3_sedimentos_turbidez_assoreamento_jupia
Pressao territorial,"Modeling of soil loss by water erosion in the Tietê River Hydrographic Basin, São Paulo, Brazil",2022,8,Semina Ciências Agrárias,https://ojs.uel.br/revistas/uel/index.php/semagrarias/article/download/44503/31761,https://doi.org/10.5433/1679-0359.2022v43n4p1403,True,True,n2_uso_solo_agro_queimadas_mapbiomas_inpe_ibge
Sedimentos e turbidez,"Middle–Late Permian magnetostratigraphy and the onset of the Illawarra Reversals in the northeastern Parana Basin, South America",2021,8,Geophysical Journal International,http://hdl.handle.net/11449/206247,https://doi.org/10.1093/gji/ggab011,False,True,n3_sedimentos_turbidez_assoreamento_jupia
Poluicao e qualidade da agua,"Trophic structure of the fish community throughout the reservoirs and tributaries of the Middle and Lower Tietê River (São Paulo, Brazil)",2018,8,Acta Limnologica Brasiliensia,http://www.scielo.br/pdf/alb/v30/2179-975X-alb-30-e308.pdf,https://doi.org/10.1590/s2179-975x0618,True,True,n3_poluicao_saneamento_efluentes_outorgas
